Team,Season,TOI_all,GP,GF.60_all,GA.60_all,G_diff.60_all,xGF.60_all,xGA.60_all,xG_diff.60_all,SF.60_all,SA.60_all,S_diff.60_all,FF.60_all,FA.60_all,F_diff.60_all,CF.60_all,CA.60_all,C_diff.60_all,Sh%_all,Sv%_all
VAN,20072008,5006.47,82,2.48,2.47,0.01,2.28,2.28,0,26.98,28.34,-1.37,37.62,39.7,-2.09,48.36,51.55,-3.19,9.2,91.29
WSH,20072008,4986.92,82,2.86,2.73,0.13,2.52,2.32,0.2,30.54,27.17,3.37,42.65,36.98,5.67,56.87,49.08,7.8,9.38,89.95
ANA,20082009,4987.58,82,2.86,2.83,0.04,2.57,2.57,0,29.85,30.07,-0.23,41.68,41.84,-0.16,52.16,51.48,0.69,9.59,90.6
ARI,20082009,4901.5,81,2.45,3.04,-0.59,2.28,2.63,-0.36,27.78,31.28,-3.5,38.54,44.33,-5.79,50.89,58.86,-7.97,8.81,90.29
ATL,20082009,4981.48,82,3.01,3.36,-0.35,2.6,2.92,-0.33,27.77,32.32,-4.54,38,43.42,-5.42,49.65,56.93,-7.29,10.84,89.6
BOS,20082009,4926.88,81,3.25,2.29,0.96,2.61,2.53,0.08,29.96,30.38,-0.43,40.93,40.37,0.56,53.69,53.16,0.54,10.85,92.46
BUF,20082009,4898.18,82,2.96,2.81,0.16,2.4,2.4,-0.01,30.71,31.54,-0.83,41.4,43.22,-1.81,54.19,56.48,-2.29,9.65,91.11
CAR,20082009,4986.05,82,2.84,2.66,0.18,2.81,2.71,0.09,32.19,29.11,3.08,45.22,41.41,3.81,60.5,55.78,4.73,8.82,90.86
CBJ,20082009,5009.65,82,2.63,2.67,-0.04,2.29,2.27,0.01,28.4,27.32,1.08,38.67,37.22,1.45,50.67,49.46,1.21,9.28,90.22
CGY,20082009,4900.18,81,3.04,2.96,0.07,2.68,2.54,0.14,31.97,29.41,2.56,44.7,40.75,3.95,59.13,50.28,8.85,9.5,89.93
