Team,Season,HDCF,Time Led,Playoff Wins,GF_EN,GA_EN,PP%,PK%,W,ROW,,,,,
S.J,2011,58.83,21.7,9,9,4,23.5,79.6,48,43,,,,,
STL,2011,47.83,19.17,-1,8,6,18.6,81.7,38,34,,,,,
T.B,2011,59.87,22.9,11,9,7,20.5,83.8,46,40,,,,,
TOR,2011,46.11,17.67,-1,3,9,16.0,77.5,37,32,,,,,
VAN,2011,52.56,24.6,15,11,3,24.3,85.6,54,50,,,,,
WSH,2011,50.19,19.27,4,11,1,17.5,85.6,48,43,,,,,
ANA,2012,47.7,24.53,-1,6,9,16.6,82.0,34,31,,,,,
BOS,2012,52.46,24.33,3,8,6,17.2,83.5,49,40,,,,,
BUF,2012,49.46,23.53,-1,4,9,17.1,81.7,39,32,,,,,
CGY,2012,51.68,20.92,-1,9,10,17.7,84.3,37,34,,,,,
CAR,2012,47.3,20.62,-1,6,8,16.7,80.6,33,32,,,,,
CHI,2012,49.35,20.5,2,13,2,15.2,78.1,45,38,,,,,
COL,2012,47.31,20.48,-1,6,13,18.4,83.0,41,32,,,,,
CBJ,2012,48.01,20.42,-1,9,12,15.5,76.6,29,25,,,,,
DAL,2012,50.72,20.32,-1,11,8,13.5,82.8,42,35,,,,,
DET,2012,54.29,20,1,6,8,16.1,81.8,48,39,,,,,
EDM,2012,46.05,19.97,-1,7,12,20.6,82.4,32,27,,,,,
FLA,2012,47.27,19.88,3,11,7,18.5,79.5,38,32,,,,,
L.A,2012,51.97,19.78,16,9,2,17.0,87.0,40,34,,,,,
MIN,2012,48.47,19.75,-1,5,9,15.1,82.1,35,24,,,,,
MTL,2012,46.15,19.72,-1,5,10,14.3,88.6,31,26,,,,,
NSH,2012,49.77,19.15,5,14,7,21.6,83.6,48,43,,,,,
N.J,2012,51.56,19.15,14,10,10,17.2,89.6,48,36,,,,,
NYI,2012,49.17,18.52,-1,10,14,18.5,80.5,34,27,,,,,
NYR,2012,53.56,18.47,10,10,9,15.7,86.2,51,47,,,,,
OTT,2012,49.3,18.4,3,14,3,18.1,81.6,41,35,,,,,
PHI,2012,52.69,18.27,5,7,6,19.7,81.8,47,43,,,,,
ARI,2012,49.03,18.2,9,7,5,13.5,85.5,42,36,,,,,
PIT,2012,51.12,17.6,2,8,7,19.7,87.8,51,42,,,,,
S.J,2012,53.1,17.55,1,7,6,21.1,76.9,43,34,,,,,
STL,2012,54.57,17.47,4,9,7,16.7,85.8,49,45,,,,,
T.B,2012,52.44,17.3,-1,6,11,15.2,79.2,38,35,,,,,
TOR,2012,45.73,17.18,-1,4,8,18.4,77.3,35,31,,,,,
VAN,2012,49.18,16.53,1,7,4,19.8,86.0,51,43,,,,,
WSH,2012,49.31,16.45,7,6,8,16.7,81.6,42,38,,,,,
WPG,2012,50.64,14.95,-1,4,8,17.9,80.1,37,33,,,,,
ANA,2013,48.77,19.98,3,9,4,21.5,81.5,30,24,,,,,
BOS,2013,54.22,24.35,14,7,5,14.8,87.1,28,24,,,,,
BUF,2013,40.3,14.48,-1,3,4,14.1,79.2,21,14,,,,,
CGY,2013,49.36,18.18,-1,7,4,20.0,81.5,19,19,,,,,
CAR,2013,47.98,16.6,-1,8,8,14.5,77.6,19,18,,,,,
CHI,2013,53.27,26.78,16,4,1,16.7,87.2,36,30,,,,,
COL,2013,48.62,12.48,-1,2,7,15.0,80.3,16,14,,,,,
CBJ,2013,45.69,14.15,-1,2,6,14.2,82.6,24,19,,,,,
